plan_tier,contract_type,auto_renew,tenure_months,seat_count,monthly_fee,discount_flag,logins_30d,active_days_30d,feature_usage_score,avg_session_minutes,onboarding_completed,time_to_first_value_days,tickets_30d,payment_failures_30d,nps_proxy,cohort_month,churn_next_30d
basic,monthly,1,25,103,19.87,0,12,6,0.511,15.38,1,16.9,4,2,30.7,15,1
basic,monthly,1,41,96,29.34,0,6,15,0.611,11.88,0,27.6,1,4,42.3,13,1
pro,monthly,0,40,119,55.77,0,7,13,0.74,9.59,1,6.4,2,3,44.4,8,0
basic,annual,1,13,87,26.46,0,11,5,0.436,9.97,1,12.0,3,0,20.5,1,0
basic,annual,0,5,106,18.05,0,14,15,0.109,13.97,1,,3,0,11.0,18,1
basic,annual,1,13,65,19.33,0,13,13,0.031,11.7,1,20.4,6,0,-16.5,8,1
enterprise,monthly,1,11,181,168.99,0,14,11,0.742,10.9,1,0.1,1,0,34.3,19,0
basic,monthly,1,43,108,23.55,0,10,10,0.583,16.1,1,13.2,3,0,-4.4,12,0
basic,monthly,0,0,62,25.9,0,14,18,0.513,12.99,1,15.8,4,0,,19,0
basic,monthly,1,39,1,26.82,0,11,13,0.556,3.71,1,10.0,0,0,63.0,12,0
basic,monthly,1,31,136,16.14,0,11,18,0.838,12.71,1,14.6,3,3,50.9,7,0
pro,annual,1,5,76,55.47,0,13,15,0.581,16.96,1,4.3,7,0,-1.4,18,0
basic,annual,0,32,50,18.06,1,10,13,0.616,11.22,1,19.3,3,2,15.4,22,0
pro,annual,1,27,96,66.21,1,9,9,0.973,18.4,1,0.0,1,1,36.0,17,0
pro,monthly,1,0,97,38.06,0,13,13,0.483,6.6,0,12.4,1,2,48.1,9,0
pro,monthly,1,10,160,57.55,0,15,17,0.989,10.01,1,11.4,1,0,80.4,15,1
basic,monthly,0,16,108,21.28,0,11,13,0.725,15.75,1,10.3,3,0,36.2,23,0
pro,monthly,1,10,140,74.08,0,11,20,0.614,14.24,1,13.1,2,0,63.2,21,0
pro,annual,1,27,129,56.02,0,18,18,0.214,9.2,1,8.4,3,0,25.4,2,0
basic,monthly,1,29,170,19.55,1,9,7,0.8,15.41,1,13.8,4,2,26.4,23,1
pro,annual,1,8,2,67.59,0,13,11,0.989,12.15,1,11.4,2,0,35.8,13,0
pro,monthly,1,5,75,36.33,0,15,16,0.545,7.89,1,7.7,2,0,26.1,1,0
basic,annual,1,31,143,21.18,0,12,6,0.88,14.44,1,2.1,3,1,7.4,7,0
enterprise,annual,1,22,29,184.96,1,13,12,0.446,9.81,1,18.5,3,3,29.4,22,1
basic,monthly,1,12,88,21.54,0,13,9,0.603,12.87,1,20.2,4,0,26.0,22,0
pro,annual,0,12,80,65.48,0,10,12,0.638,12.45,1,12.3,1,0,60.1,8,1
enterprise,monthly,1,1,161,160.28,0,22,11,0.509,10.05,1,5.8,2,1,31.2,16,0
basic,annual,1,40,192,30.87,1,6,15,0.505,16.68,1,14.7,2,2,25.1,18,1
pro,annual,1,40,22,50.35,0,9,10,0.664,8.87,1,0.0,2,0,41.3,0,0
basic,annual,0,26,43,17.98,0,9,14,0.336,10.47,1,2.6,4,0,6.0,15,0
pro,annual,0,16,155,39.77,0,15,7,0.792,12.47,1,22.5,1,1,65.0,3,0
pro,monthly,0,10,35,59.88,1,13,11,0.547,12.21,1,0.6,0,1,71.9,8,0
basic,annual,1,14,99,22.25,0,17,8,0.485,11.05,1,10.2,4,0,8.3,16,0
basic,monthly,1,44,188,21.86,0,6,16,0.81,16.1,0,18.9,4,1,52.2,20,1
basic,monthly,1,4,195,22.5,0,11,9,0.432,11.53,1,14.1,2,1,49.6,21,0
basic,monthly,1,39,190,23.23,0,11,12,0.143,6.91,1,12.0,7,1,-25.8,2,1
basic,annual,0,14,27,18.43,0,10,13,0.505,7.95,1,,2,0,37.3,10,0
basic,monthly,1,12,30,21.49,0,11,9,0.57,9.11,1,11.4,3,2,22.7,5,1
basic,monthly,0,38,36,30.1,0,12,8,0.507,8.6,1,18.8,6,1,-2.1,19,1
basic,annual,1,46,154,24.83,0,8,12,0.705,14.26,1,15.8,1,0,36.1,18,0
pro,monthly,1,47,36,45.28,0,3,3,0.742,12.2,1,12.1,6,0,-3.3,4,0
pro,monthly,1,12,86,62.85,0,20,19,0.562,12.56,0,2.4,5,3,15.4,12,0
pro,monthly,0,28,163,59.32,0,13,12,0.795,8.64,1,11.2,1,1,40.3,15,0
basic,monthly,0,14,98,21.57,0,14,7,0.633,10.85,1,12.8,3,0,17.2,2,0
pro,annual,1,9,188,47.77,1,18,13,0.748,13.94,1,4.2,1,0,67.0,10,0
pro,monthly,0,18,100,56.3,0,13,15,0.641,14.97,1,19.0,3,0,46.0,15,0
basic,monthly,1,2,76,22.19,0,19,11,0.601,7.15,1,3.2,2,2,,15,0
basic,annual,1,7,193,16.61,0,20,6,0.57,16.12,0,17.8,2,2,30.7,9,0
pro,annual,1,28,109,62.3,0,6,11,0.616,16.02,0,21.1,1,0,67.3,19,0
basic,annual,1,32,37,29.02,0,13,16,0.636,14.87,1,12.9,1,0,30.0,1,1
basic,monthly,0,12,127,24.92,1,14,14,0.65,15.7,1,0.2,5,3,19.0,9,1
enterprise,annual,1,26,154,254.26,0,12,14,0.85,11.97,1,16.6,1,2,33.5,1,0
basic,monthly,1,36,167,26.12,0,9,16,0.661,9.57,1,1.8,2,0,29.4,12,0
basic,monthly,1,42,2,31.76,0,5,17,0.145,9.13,1,4.8,1,1,17.9,2,0
enterprise,monthly,1,27,22,211.38,0,12,2,0.913,14.38,1,13.8,4,0,43.5,6,0
pro,annual,1,11,126,73.88,0,20,9,0.496,9.1,1,2.2,2,0,24.0,8,0
basic,monthly,0,34,148,21.85,0,8,12,0.752,14.28,1,10.5,0,1,55.2,7,0
pro,annual,0,8,130,84.04,0,11,13,0.425,14.78,1,2.2,5,0,-0.2,14,0
pro,monthly,1,6,77,52.87,0,16,7,0.955,16.41,1,8.4,2,0,49.7,0,0
basic,monthly,1,17,150,18.66,0,10,9,0.157,9.08,0,25.2,1,1,30.3,16,0
pro,monthly,1,15,116,55.59,1,9,19,0.728,5.05,1,0.0,1,2,47.4,22,0
basic,monthly,1,7,185,23.44,0,22,13,0.484,6.3,1,13.5,2,0,42.4,15,0
basic,monthly,1,2,74,12.8,1,19,15,0.633,11.52,1,1.7,2,2,63.7,1,0
pro,annual,0,45,151,68.18,0,5,18,0.981,15.81,1,20.6,2,0,72.2,2,0
basic,annual,0,32,29,23.27,0,6,12,0.593,7.29,1,6.5,0,0,83.1,6,0
pro,monthly,1,34,146,80.66,0,7,15,0.839,13.32,0,17.4,2,3,40.5,19,0
pro,monthly,1,3,146,50.55,1,18,16,0.946,15.81,0,15.8,4,2,44.3,8,0
basic,monthly,1,38,51,32.24,0,5,10,0.439,10.44,1,12.8,3,0,24.9,19,0
pro,monthly,1,17,13,54.48,0,14,11,0.735,10.55,1,5.4,3,0,64.2,19,0
basic,monthly,1,35,198,22.23,0,8,16,0.796,8.33,0,9.8,0,2,71.3,7,1
pro,monthly,1,23,16,55.13,1,9,12,0.733,14.72,0,,3,0,44.4,18,0
basic,annual,1,11,94,23.26,0,11,8,0.444,8.7,0,12.3,3,1,28.5,18,0
pro,monthly,1,12,1,43.78,1,13,17,0.763,17.52,0,13.3,0,2,57.0,16,0
pro,monthly,0,6,84,60.42,1,17,2,0.691,12.68,1,5.9,3,3,67.6,4,0
basic,monthly,1,39,164,21.86,0,7,18,0.642,12.96,1,17.9,0,0,38.0,17,0
pro,monthly,1,20,100,51.25,1,16,12,0.575,13.95,1,21.6,3,1,27.0,3,0
pro,monthly,1,37,48,78.11,0,11,12,0.714,11.19,1,3.9,5,0,32.2,5,0
pro,monthly,0,39,79,68.66,0,7,12,0.645,13.28,1,8.8,3,4,21.7,11,1
pro,annual,1,8,19,82.19,0,13,18,0.581,9.55,1,14.5,1,0,41.5,18,0
enterprise,monthly,1,15,119,146.2,1,16,14,0.986,11.51,0,22.0,1,2,76.3,2,0
basic,monthly,0,5,1,30.53,0,15,13,0.458,8.01,1,11.1,6,1,-2.7,17,1
basic,monthly,1,0,70,27.64,0,20,10,0.414,9.02,1,11.3,5,2,-10.5,13,0
basic,monthly,1,47,13,33.15,0,9,9,0.336,16.19,1,19.7,2,1,54.4,8,0
pro,monthly,1,31,48,64.07,0,13,15,0.658,9.24,1,0.0,1,2,48.5,12,0
basic,monthly,0,21,14,30.67,0,15,14,0.523,12.98,1,17.5,3,0,21.6,18,0
basic,monthly,1,9,185,29.68,0,10,19,0.68,11.4,1,7.2,4,0,43.9,2,0
basic,monthly,0,28,154,24.09,0,14,10,0.328,6.56,1,12.9,3,2,5.4,12,0
pro,annual,1,26,185,62.0,0,8,7,0.367,12.58,1,8.4,2,0,8.0,16,1
basic,annual,1,10,136,19.57,0,13,14,0.216,7.79,1,8.4,2,0,19.9,20,1
pro,monthly,0,0,99,57.16,1,11,12,0.752,11.17,1,9.9,2,2,47.2,12,0
basic,monthly,1,22,35,21.24,0,13,8,0.736,15.67,0,15.9,1,1,28.3,3,0
enterprise,annual,1,24,192,136.39,0,16,11,0.922,12.74,1,14.1,3,1,35.5,2,0
basic,annual,1,38,183,28.03,1,9,15,0.46,11.43,1,7.4,0,1,50.1,23,0
basic,annual,1,18,83,17.49,0,13,7,0.573,11.36,0,11.7,4,0,14.3,14,1
pro,monthly,1,4,45,64.61,0,16,9,0.266,9.31,1,8.7,5,0,-11.3,16,1
enterprise,monthly,1,42,78,126.35,0,7,8,1.0,10.04,1,7.6,1,3,48.1,10,1
basic,monthly,1,19,79,26.79,0,14,10,0.758,15.12,1,21.1,0,1,57.9,19,0
basic,annual,1,34,183,27.23,0,14,16,0.713,12.94,0,17.8,3,0,40.7,14,0
pro,monthly,1,2,14,49.72,1,15,11,0.508,13.49,1,8.0,5,3,7.3,17,0
pro,monthly,1,1,126,48.26,0,23,21,0.605,11.97,1,0.7,6,1,-13.6,14,0
basic,monthly,1,1,153,25.44,0,13,8,0.516,14.26,1,13.2,4,0,9.7,4,1
basic,monthly,1,37,152,23.53,0,6,13,0.856,13.59,1,5.1,4,0,41.1,9,0
pro,monthly,1,11,39,62.54,1,16,13,0.85,17.22,0,12.9,2,0,48.3,17,0
pro,monthly,1,37,83,61.0,0,8,12,0.636,9.1,1,2.5,5,0,-8.3,3,0
pro,monthly,1,45,69,79.08,0,12,3,0.775,10.28,0,17.1,0,2,91.2,21,0
pro,annual,0,31,81,58.36,0,11,8,0.506,16.4,1,7.3,3,0,37.3,15,0
basic,monthly,1,47,18,27.85,0,8,11,0.301,12.29,1,18.9,5,0,13.6,9,1
enterprise,monthly,1,44,17,169.37,0,5,3,0.738,18.02,1,2.0,2,2,36.2,23,0
pro,annual,0,34,5,48.05,1,11,1,0.465,12.63,1,8.2,1,0,42.8,19,0
pro,annual,0,38,193,48.1,0,15,8,0.365,9.36,1,8.7,5,3,-2.6,11,1
basic,monthly,1,28,83,31.98,0,7,13,0.556,16.94,1,11.1,4,1,28.6,16,0
basic,monthly,1,10,46,28.31,1,11,14,0.502,5.56,1,18.5,2,1,41.8,18,1
pro,monthly,1,4,159,51.72,1,25,10,0.488,13.33,1,7.5,3,1,-3.6,13,0
basic,monthly,0,18,99,24.99,1,10,11,0.478,3.25,1,5.7,3,4,44.4,22,1
enterprise,monthly,1,22,73,164.51,0,15,15,0.818,17.43,1,10.3,2,1,57.9,2,0
basic,monthly,1,16,23,21.21,1,16,19,0.509,7.97,1,22.7,2,1,44.6,15,0
pro,monthly,1,4,77,44.51,0,14,18,0.695,11.25,1,3.8,2,1,31.3,15,0
pro,monthly,1,24,129,51.69,1,11,16,0.639,8.94,1,7.5,3,1,36.4,4,0
basic,monthly,0,23,125,24.81,0,9,10,0.861,14.94,0,19.1,1,2,29.6,19,1
basic,monthly,1,45,78,32.84,0,6,11,0.789,12.18,1,17.6,1,0,62.1,16,0
pro,annual,1,45,122,65.17,0,11,12,0.691,16.29,1,12.4,2,0,40.0,19,0
pro,monthly,1,29,153,59.48,0,5,10,0.523,9.16,1,8.7,0,2,60.6,7,0
basic,monthly,0,40,186,26.58,0,9,6,0.449,7.15,1,9.4,2,1,12.4,16,0
pro,monthly,1,15,106,50.3,1,9,18,0.438,9.21,1,5.1,2,3,20.5,4,0
enterprise,annual,1,46,46,172.97,0,6,13,0.606,16.55,1,10.8,4,0,17.3,13,1
basic,annual,1,45,26,14.02,1,7,15,0.67,15.15,1,7.7,3,1,34.5,15,0
basic,monthly,1,6,32,27.43,0,18,16,0.443,14.13,0,9.7,1,0,45.1,19,1
basic,monthly,0,33,3,24.68,0,6,9,0.519,9.46,1,10.6,2,0,57.4,16,0
basic,monthly,1,21,112,20.87,0,11,6,0.763,8.62,1,8.8,1,0,47.5,7,0
basic,monthly,1,12,43,15.62,0,13,16,0.65,16.16,1,9.7,1,0,39.0,21,0
basic,annual,1,19,45,27.16,0,16,16,0.562,7.24,1,15.2,3,1,48.6,9,0
pro,monthly,0,43,145,55.85,0,5,12,0.649,11.91,1,8.5,2,0,31.1,16,0
basic,annual,1,44,64,18.22,1,3,19,0.514,9.09,1,10.6,1,0,52.7,10,0
enterprise,monthly,0,16,165,198.48,0,8,9,0.918,13.73,1,0.8,1,0,44.2,12,0
basic,monthly,1,22,28,23.81,0,21,13,0.604,6.49,0,15.6,1,0,34.9,14,0
basic,annual,1,24,68,27.35,0,7,12,0.504,13.58,1,2.3,3,0,50.3,15,1
pro,monthly,1,35,11,40.95,0,9,10,0.441,14.76,1,3.3,3,0,,1,0
pro,annual,1,23,107,42.72,1,17,12,0.757,15.68,1,3.1,4,0,35.8,23,0
basic,monthly,1,19,25,24.71,0,12,17,0.612,8.33,1,12.0,2,0,55.6,6,0
basic,annual,1,44,48,25.69,1,7,9,0.265,10.89,1,12.3,4,1,12.5,14,0
basic,monthly,0,17,147,25.2,0,13,10,0.522,10.62,1,10.5,4,0,13.9,23,1
basic,monthly,0,12,176,25.34,0,16,16,0.61,11.66,1,5.1,2,2,31.9,10,0
basic,annual,0,15,109,23.37,0,12,7,0.503,16.0,1,1.6,2,0,40.6,20,0
basic,monthly,1,15,193,20.55,0,16,13,0.877,11.95,1,20.1,2,1,46.9,14,1
basic,monthly,1,26,151,20.39,0,11,12,0.825,14.99,0,12.9,4,2,26.1,4,0
basic,annual,1,31,150,16.69,0,11,15,0.323,4.7,1,10.3,2,0,52.4,17,0
enterprise,monthly,0,6,198,192.73,0,22,18,0.705,12.45,1,5.1,5,1,28.0,7,0
pro,annual,0,42,18,34.57,1,7,11,0.844,15.86,1,13.2,2,2,34.5,20,0
basic,monthly,1,12,47,21.6,1,15,13,0.535,10.76,1,13.7,0,1,74.7,2,0
basic,monthly,0,5,87,26.48,0,20,14,0.683,13.94,1,7.7,4,1,14.4,4,0
basic,monthly,1,32,124,26.7,0,4,10,0.433,8.17,1,15.1,1,0,37.6,12,1
basic,monthly,1,10,198,18.13,1,17,19,0.267,8.21,1,3.9,3,2,,2,0
pro,annual,1,36,20,47.22,0,10,14,0.795,12.36,1,7.4,0,0,74.6,16,0
pro,monthly,1,45,46,75.64,0,7,16,0.61,10.03,1,0.0,3,2,43.0,11,0
enterprise,monthly,1,33,60,180.6,0,7,8,1.0,16.7,1,9.9,3,1,29.2,15,0
enterprise,monthly,1,37,134,159.04,1,12,17,0.919,16.79,1,5.5,2,2,60.2,18,0
enterprise,monthly,1,23,190,220.55,0,15,13,0.559,13.3,1,6.6,3,0,18.1,10,0
enterprise,monthly,1,16,187,100.36,0,21,17,0.871,5.63,1,15.2,1,1,61.3,2,0
basic,annual,1,29,149,31.2,0,6,4,0.537,10.27,0,13.5,6,1,-14.8,18,1
basic,annual,1,17,154,18.1,0,13,19,0.645,14.39,1,7.8,4,0,35.2,21,0
basic,annual,1,42,83,20.3,1,5,13,0.42,10.03,1,3.1,2,2,18.6,9,0
pro,monthly,0,22,122,57.34,0,14,20,0.726,11.69,1,8.3,6,1,20.0,22,0
basic,monthly,1,23,35,23.85,1,12,17,0.741,15.25,0,17.6,1,1,50.4,17,0
pro,monthly,1,32,101,33.55,0,13,4,0.818,15.87,1,,0,2,,23,0
pro,annual,1,9,59,56.63,0,17,19,0.867,15.0,1,7.8,2,1,50.4,19,0
basic,monthly,1,26,185,22.69,0,9,13,1.0,9.53,1,14.0,0,1,74.6,15,0
basic,monthly,1,36,74,30.24,0,8,14,0.466,7.44,1,15.1,3,1,14.6,17,0
basic,monthly,0,37,79,17.78,0,15,15,0.875,14.43,1,14.2,4,3,35.2,17,1
basic,annual,1,10,81,22.86,0,20,14,0.603,5.38,0,17.2,1,0,18.9,0,0
pro,annual,1,2,180,76.76,0,26,14,0.6,16.52,1,11.2,6,0,18.1,8,0
pro,annual,1,9,186,62.88,0,13,15,0.669,12.42,1,11.9,4,0,56.6,8,0
pro,monthly,1,39,86,53.4,0,11,9,0.833,10.88,0,20.0,2,1,49.7,21,0
basic,annual,1,12,199,26.68,0,6,11,0.484,9.31,1,25.7,6,2,,2,1
basic,monthly,1,2,151,23.43,0,17,19,0.197,12.8,1,6.0,5,0,-13.9,2,0
basic,monthly,1,28,169,26.03,1,12,8,0.701,8.43,1,15.1,4,3,36.5,11,1
pro,monthly,1,42,183,55.97,0,6,10,0.711,6.5,1,7.9,1,1,56.5,8,0
pro,monthly,1,10,67,62.81,0,17,18,0.577,8.48,1,9.2,2,0,46.2,7,0
basic,monthly,0,2,110,26.25,0,18,10,0.323,10.82,0,22.5,4,1,17.6,22,0
enterprise,monthly,1,6,57,156.16,0,15,5,0.823,17.75,1,9.3,3,2,39.4,3,1
basic,monthly,1,6,62,28.13,0,15,5,0.782,16.35,1,5.6,3,2,34.0,12,1
pro,monthly,1,9,93,53.71,0,15,11,0.509,9.74,1,4.9,2,1,27.0,20,0
basic,annual,1,8,11,28.88,1,18,20,0.601,12.45,1,15.4,0,1,77.6,17,0
basic,monthly,1,30,43,26.09,1,15,10,0.948,14.73,1,7.3,0,2,70.7,13,0
pro,monthly,1,10,162,33.05,1,16,12,0.841,13.71,1,1.4,6,2,12.3,12,1
basic,monthly,1,26,33,21.05,0,10,12,0.551,5.4,0,16.2,1,2,63.7,17,0
basic,annual,1,19,124,27.11,0,14,17,0.533,10.26,1,3.3,1,1,53.1,0,0
basic,monthly,1,31,153,23.31,0,10,15,0.466,13.17,0,13.4,5,0,18.9,20,0
basic,monthly,1,31,53,27.72,0,9,11,0.565,16.99,0,29.6,2,0,41.0,6,0
pro,monthly,1,28,92,68.66,0,10,14,0.597,12.78,0,10.7,3,0,53.8,19,0
pro,monthly,1,42,175,59.09,0,7,16,0.624,15.02,1,10.3,4,0,16.9,5,0
pro,monthly,1,9,167,56.49,0,19,7,0.651,14.55,1,3.0,1,0,39.4,21,1
basic,monthly,0,25,184,37.1,0,11,11,0.263,8.44,1,15.8,2,0,11.4,4,0
basic,monthly,1,18,126,28.01,0,21,9,0.527,7.16,0,16.4,5,1,14.3,14,0
basic,monthly,1,25,177,18.25,0,12,9,1.0,17.4,1,16.7,1,0,70.2,10,0
basic,monthly,1,6,80,30.12,1,13,15,0.307,15.4,0,16.1,5,3,-10.4,23,1
basic,monthly,1,15,120,30.49,0,13,8,0.834,11.74,1,9.2,2,0,58.2,18,0
enterprise,monthly,1,45,133,185.28,0,6,20,0.948,17.26,1,7.1,1,4,65.1,1,0
pro,monthly,1,38,195,53.34,1,8,14,0.796,13.22,1,8.0,4,3,50.1,11,1
pro,monthly,1,20,74,69.3,0,7,9,0.584,7.37,1,9.4,2,1,63.5,3,0
basic,monthly,1,5,175,13.58,1,16,13,0.727,12.5,1,7.8,1,2,41.9,19,0
basic,monthly,1,31,102,21.07,1,6,6,0.893,11.65,1,6.6,2,1,42.0,16,0
basic,monthly,1,14,21,27.11,1,12,7,0.759,13.88,1,3.5,0,2,43.5,6,0
basic,monthly,0,15,131,26.98,0,16,12,0.61,12.86,1,8.5,5,0,11.6,18,1
basic,monthly,0,4,196,33.55,0,16,18,0.569,9.48,0,7.8,3,0,-0.7,8,0
basic,monthly,1,13,91,31.61,0,17,8,0.451,6.78,1,4.3,6,0,,17,1
basic,monthly,1,10,110,25.1,0,15,18,0.586,10.14,1,10.5,3,0,41.9,19,0
enterprise,monthly,1,1,185,179.05,0,15,12,0.865,17.84,1,11.5,1,0,67.5,5,1
basic,monthly,0,28,184,32.61,0,18,15,0.575,7.93,1,10.0,4,3,33.9,17,1
enterprise,annual,1,46,80,184.72,1,10,12,0.754,14.7,1,20.0,4,0,32.3,1,1
basic,monthly,1,6,152,23.93,0,11,15,0.557,13.14,1,13.8,2,0,43.7,0,1
pro,monthly,1,2,126,52.0,0,16,18,1.0,12.34,1,9.2,2,0,68.3,8,0
basic,annual,1,4,129,12.94,0,23,14,0.6,9.07,1,5.2,1,1,39.9,11,0
basic,monthly,1,26,144,26.4,0,10,14,0.607,13.42,1,15.5,6,2,15.1,7,0
basic,monthly,1,39,66,28.6,0,14,18,0.137,8.74,1,15.5,4,3,17.4,1,1
basic,monthly,1,14,61,25.72,0,13,16,0.743,10.95,1,6.3,3,3,40.8,16,0
enterprise,annual,1,5,6,206.06,0,17,12,0.874,14.66,1,8.2,2,0,48.3,18,1
basic,annual,1,4,171,24.78,0,22,14,0.666,16.87,1,21.2,3,0,49.0,20,0
pro,monthly,1,29,56,72.29,0,6,7,0.798,16.51,1,9.6,3,0,4.1,11,0
basic,annual,1,17,135,33.31,0,21,21,0.398,10.77,1,17.1,5,0,-34.8,23,0
basic,monthly,0,16,137,23.16,0,11,13,0.516,1.0,1,10.0,4,1,13.9,15,0
basic,monthly,1,11,141,18.62,1,9,6,0.886,12.6,1,1.5,2,2,26.0,16,0
basic,monthly,1,43,172,27.02,1,7,8,0.316,6.89,1,14.9,3,0,45.0,9,0
enterprise,monthly,1,17,173,192.14,0,16,13,0.527,10.55,0,13.1,4,3,46.5,22,1
pro,monthly,1,33,1,41.56,1,11,18,0.424,9.5,1,9.4,8,1,-14.0,0,0
pro,annual,0,35,168,55.59,0,8,11,0.655,10.98,0,14.3,4,0,-3.2,14,0
basic,monthly,0,2,42,19.23,0,23,17,0.856,16.36,1,7.3,3,2,23.1,3,0
basic,monthly,1,11,129,20.91,1,12,10,0.619,11.03,1,12.4,6,2,-6.1,5,0
enterprise,monthly,0,42,134,152.71,0,9,14,0.964,12.97,0,10.2,1,0,57.8,5,0
basic,monthly,0,42,11,21.61,0,10,17,0.209,10.68,1,5.8,6,2,-40.8,23,1
basic,monthly,1,19,57,17.01,1,19,17,0.417,7.33,1,16.7,4,1,37.7,1,0
basic,annual,1,7,182,25.39,0,14,3,0.446,9.66,1,6.9,3,0,19.7,5,1
pro,monthly,1,14,29,75.26,0,9,11,0.977,9.75,1,7.1,2,0,46.4,7,0
pro,monthly,1,45,47,64.8,0,6,7,0.714,14.15,1,2.7,2,1,48.5,4,0
pro,monthly,1,32,17,73.9,0,12,15,0.68,12.77,1,16.7,1,2,46.4,7,0
pro,annual,1,3,34,50.71,0,16,13,0.724,18.55,1,10.9,1,0,27.9,13,0
basic,annual,0,34,127,29.61,0,9,19,0.526,6.25,1,6.0,3,0,47.2,18,0
enterprise,monthly,1,7,168,183.09,0,13,11,1.0,16.91,1,8.0,0,0,58.9,14,0
basic,monthly,1,14,119,21.95,0,18,14,0.919,8.26,1,12.1,1,0,52.5,6,0
pro,monthly,1,23,57,47.23,0,15,13,0.89,10.35,1,8.6,1,3,74.4,18,0
basic,annual,1,16,171,30.11,0,15,16,0.75,6.06,1,8.3,1,1,30.3,21,0
enterprise,annual,1,33,74,195.59,0,10,8,0.677,12.27,0,10.0,2,0,34.0,3,1
basic,annual,1,7,63,26.55,0,11,8,0.653,12.74,1,20.9,4,0,42.2,6,0
basic,monthly,1,42,101,26.52,0,8,9,0.208,8.28,1,6.6,1,2,31.4,3,0
basic,monthly,0,28,28,12.49,1,15,15,0.491,4.39,1,5.7,3,3,9.6,9,1
basic,monthly,1,14,71,20.07,0,16,17,0.289,8.14,1,1.0,2,1,19.6,9,0
basic,monthly,1,45,160,22.74,0,4,10,0.659,12.34,1,10.5,0,0,45.5,4,0
pro,monthly,1,22,122,56.51,1,10,14,0.67,9.28,1,0.3,3,4,8.2,10,0
basic,monthly,0,19,197,23.64,0,11,14,0.707,12.16,0,31.2,3,0,10.8,16,0
enterprise,monthly,1,1,155,216.15,0,24,15,0.887,16.56,1,0.0,4,2,30.1,18,1
basic,annual,1,47,72,30.03,0,9,11,0.771,10.91,1,7.4,4,0,-1.7,5,0
pro,annual,1,40,153,66.05,0,6,14,0.551,8.04,0,27.0,5,0,-2.4,15,0
basic,annual,1,8,173,24.96,0,20,22,0.245,9.23,1,18.5,3,1,-5.5,7,1
pro,annual,1,45,126,50.19,0,9,16,1.0,19.45,1,0.0,1,0,56.8,3,0
pro,annual,1,38,152,79.59,0,9,17,0.591,13.06,1,8.1,5,0,20.4,18,0
basic,monthly,1,20,101,24.04,0,16,21,0.561,6.84,1,13.4,2,0,27.5,7,0
enterprise,monthly,1,44,182,179.69,0,6,8,0.962,17.84,1,2.1,2,0,49.9,13,0
basic,monthly,1,26,48,25.06,0,12,15,0.516,9.85,1,15.7,2,0,49.0,23,0
basic,monthly,1,33,85,24.12,1,9,18,0.363,9.48,1,3.4,3,0,4.8,10,0
pro,monthly,1,8,51,57.01,1,25,19,1.0,10.13,1,0.0,1,1,61.4,16,0
pro,annual,1,5,21,55.37,0,19,11,0.59,11.99,1,13.7,0,1,70.6,22,0
basic,annual,0,25,123,19.14,0,6,8,0.902,7.55,1,15.4,2,0,74.1,12,0
basic,annual,1,15,24,26.24,0,10,19,0.636,8.43,1,23.0,0,0,72.8,9,0
pro,annual,1,47,46,52.19,1,7,13,0.871,15.05,0,13.3,4,0,20.2,20,0
pro,annual,1,4,152,45.04,1,14,14,0.867,13.58,1,,2,0,36.9,16,0
enterprise,monthly,1,36,48,214.84,0,12,12,0.696,9.91,1,4.6,1,2,60.0,15,0
basic,annual,1,28,172,31.34,0,5,17,0.678,11.49,1,18.8,1,0,62.5,17,0
pro,annual,0,42,10,65.68,0,7,15,1.0,16.09,0,25.1,2,0,66.4,5,0
basic,annual,1,47,91,18.16,1,11,11,0.808,14.0,1,6.5,1,0,23.4,21,0
enterprise,monthly,0,41,14,181.8,0,10,16,0.979,15.86,1,0.0,1,2,36.1,23,0
basic,monthly,1,17,12,16.61,0,13,13,0.695,8.6,1,13.3,2,0,58.9,8,0
pro,annual,1,33,158,69.3,0,6,15,0.673,9.91,1,9.1,0,0,60.7,19,0
basic,monthly,1,7,14,22.76,0,21,20,0.417,16.31,0,17.0,1,0,40.7,8,0
pro,monthly,1,23,178,55.97,1,6,16,0.978,12.68,1,13.7,2,1,46.4,15,1
pro,monthly,1,12,120,55.5,0,11,5,0.589,10.15,0,7.2,1,3,32.1,1,0
basic,monthly,1,12,97,23.06,0,22,16,0.483,11.27,1,11.2,3,1,23.0,15,0
enterprise,monthly,1,27,183,200.35,0,14,19,0.774,13.31,1,3.3,3,1,25.1,4,0
basic,annual,1,6,78,32.19,0,15,10,0.308,6.85,1,21.7,9,0,-33.7,8,1
pro,annual,1,27,80,71.07,0,10,20,0.624,4.28,1,12.6,3,0,64.7,7,0
basic,annual,1,19,82,17.31,0,17,16,0.435,9.65,1,7.7,6,0,2.7,13,0
basic,monthly,1,11,130,27.76,0,18,17,0.313,9.82,0,18.2,4,2,0.1,7,1
basic,monthly,1,26,169,24.46,0,14,17,0.345,4.76,1,10.9,1,0,26.5,0,0
basic,monthly,1,36,108,23.89,0,8,6,0.565,12.19,0,10.0,1,0,42.5,1,0
basic,monthly,1,29,56,23.63,1,12,16,0.754,13.53,1,21.5,2,4,16.3,14,1
